Mouse symbol	FC.old	log2FC.old	fdr.old	log10.old	significant.level.old	FC.new	log2FC.new	fdr.new	log10.new	significant.level.new	grouping
Rpl19	-1.14281490308825	-0.192591755240026	0.00445061323458137	2.3515801449637874	3	1.01772476462071	0.0253474490309355	0.948844426654572	0.022804989031217852	0	old
Rps26	-1.13119613401768	-0.177849094705625	0.0210818745087523	1.6760907761628254	2	1.05189207126337	0.0729866853897206	0.816401171590285	0.08809638071389123	0	old
Mrpl52	-1.33084714718325	-0.412344881795267	0.0164154721022442	1.7847466226238757	2	1.05977266475586	0.0837548208221012	0.871705259755762	0.05963033353020947	0	old
Adnp	1.30168936840067	0.380385208767846	0.0468959848634196	1.3288643390825077	2	1.10372220921818	0.142377112503087	0.739754611230045	0.13091231900204153	0	old
Cox4i1	-1.13157760885152	-0.178335534729037	0.0207718309943571	1.6825252196085003	2	-1.00050110993352	-7.22767738107996e-4	0.998367816074772	7.094275879533298e-4	0	old
Enho	-1.17302317845934	-0.230231520713377	0.0370587262986294	1.4311095113793113	2	-1.02885377523551	-0.0410379552805295	0.910284470675728	0.04082286620802313	0	old
Edem3	1.13912346449549	0.187924122780988	0.0217086662546492	1.6633668580766479	2	1.00678459507251	0.00975504693679963	0.986361260940123	0.005963992870472015	0	old
Rpl24	-1.15623595313182	-0.209435838735843	0.00180787779530472	2.742830929291258	3	-1.04685711497515	-0.0660645429525158	0.860234606452601	0.06538309016010709	0	old
Vamp1	-1.30181130537047	-0.380520348246416	1.18074836523478e-6	5.9278426470385845	3	-1.26294452285994	-0.336791267508132	0.160983061529921	0.793219817577367	0	old
Rpl26	-1.1501235334381	-0.201788827697424	0.033749296545177	1.4717352749731576	2	-1.0353463926569	-0.0501135265274307	0.925215142534384	0.03375726796226015	0	old
Chchd10	-1.20879446926464	-0.273568964703137	0.00475970825655001	2.322419666282335	3	1.06101271096001	0.0854419398805143	0.725074367298686	0.13961744770333864	0	old
Cmtm5	-1.22131096760114	-0.288430583041466	0.0421850072183814	1.374841872243561	2	-1.02149100456511	-0.0306764994931323	0.964363151368581	0.015759392511744883	0	old
Csrp1	-1.20623148452338	-0.270506797393105	0.00411667407916619	2.3854535151309233	3	-1.0265383739755	-0.0377875591653439	0.94503677482655	0.02455129118016283	0	old
Ckb	-1.1790429180565	-0.237616234467244	0.0041170054708423	2.385418555894172	3	-1.04145002042995	-0.0585936055734756	0.764565002647173	0.11658558534533667	0	old
Chl1	1.23262587010575	0.301734975532495	0.00488756491828337	2.3109074611121887	3	1.03034197804313	0.0431232579340244	0.947359256870185	0.023485296932258027	0	old
Asic2	-1.14820395192925	-0.199378926249545	0.0489221825451617	1.3104941762028717	2	-1.03421835868784	-0.0485408198283801	0.889741906415615	0.050735953888909245	0	old
Rpl39	-1.25184084213685	-0.324051151043809	0.00965939945781942	2.0150498736116895	3	-1.05289616461396	-0.0743631664842857	0.814832635915584	0.08893158483362651	0	old
Selenom	-1.17148956411688	-0.228344102417964	0.0124620715224585	1.9044097605664183	2	1.00766077444704	0.0110100422197653	0.97858539620535	0.009401269666164062	0	old
Tmsb4x	-1.12999383024607	-0.176314895562861	0.019565092639433	1.708518091402488	2	1.01699767645418	0.0243163830578908	0.953062993816373	0.02087839320983752	0	old
Bmi1	1.13585145172983	0.183774169467624	0.0496733842678576	1.3038762503372363	2	-1.0235283307104	-0.03355103593214	0.926918824769134	0.03295829767694391	0	old
Rps5	-1.13288511817677	-0.1800015700376	0.0187877289079918	1.7261257149680653	2	-1.04269581622089	-0.0603183444012458	0.836900459566898	0.07732619365738191	0	old
Gstm1	-1.17742750694267	-0.235638237253056	0.00475970825655001	2.322419666282335	3	1.03028760874815	0.043047127500148	0.947359256870185	0.023485296932258027	0	old
Apod	-1.35410073410465	-0.437335067707203	0.00310541189339196	2.5078807880273506	3	-1.09029931875187	-0.124724250964789	0.855392791538683	0.06783441389702846	0	old
Rps27a	-1.11904909547194	-0.162273332328737	0.044064690183956	1.3559092790281053	2	-1.02954591400577	-0.0420081703600466	0.935660832095077	0.028881550239992945	0	old
Kcna3	1.25326986587241	0.325697102796473	0.0409752744396424	1.3874781289783744	2	1.01514230264829	0.021681978577838	0.983421425290205	0.0072603341951880335	0	old
Kcnab2	-1.10674453533174	-0.146322249993938	0.0302018562007316	1.5199663645606643	2	-1.0424413245586	-0.0599661816069802	0.826572488390854	0.08271905385576106	0	old
Scn1b	-1.16773986692453	-0.223718926190434	0.00756883226103909	2.120971119404372	3	-1.04929546599937	-0.0694209765912062	0.818985769944814	0.08672364413473889	0	old
1810013L24Rik	1.16900976099432	0.225286976130745	0.0310865882593863	1.5074269389869541	2	-1.05113244159262	-0.0719444588251992	0.752975047544059	0.12321941542410594	0	old
Rpl32	-1.13591585286799	-0.183855965875637	0.0250259222377523	1.601609909237781	2	1.02700366429525	0.0384413291255896	0.934344339842427	0.029493040971495594	0	old
Apc	1.2228977083222	0.290303731855295	0.0423175047124062	1.3734799487607359	2	1.03915447702402	0.0554101361195407	0.877035310638478	0.05698292099344528	0	old
Pink1	-1.15395012199455	-0.206580866698953	3.71226042623859e-4	3.4303615643198087	3	-1.05584332258645	-0.07839576793721	0.742056451219124	0.12956305493605916	0	old
Trp53bp1	1.1627863157294	0.217585998305495	0.044622416651249	1.3504469129880556	2	-1.08516506897647	-0.117914513711503	0.627658391574841	0.2022766604338648	0	old
Fxyd7	-1.18918897518039	-0.249977993378124	0.00446970487227697	2.3497211517166066	3	-1.05293799546775	-0.0744204826457159	0.805916760441659	0.09370981222432681	0	old
Trnp1	-1.17944987971981	-0.238114113095387	0.00139487442924656	2.8554648871143415	3	-1.02451627534643	-0.034942903016891	0.933805029929467	0.029743791076953678	0	old
Nefh	-1.23721611158957	-0.307097526091575	0.00180787779530472	2.742830929291258	3	-1.30581754618731	-0.384953332106926	0.0660718937854526	1.1799832450490308	1	old
Tsc22d4	-1.25172862636555	-0.323921821189846	0.00202624445304952	2.693308161045727	3	1.01861798725984	0.026613098395072	0.961968010290971	0.016839369942548407	0	old
Casp3	1.27244233956101	0.347600282380231	0.0216445491675689	1.6646514556385892	2	1.01050468700014	0.015076013351676	0.985915597999729	0.006160262433965329	0	old
Bcas3	-1.16579891006547	-0.221318957946052	0.0468081994300833	1.3296780645469666	2	1.03194800007412	0.0453702750971327	0.884919734820043	0.053096119477991456	0	old
H3f3b	-1.16363429485502	-0.218637721564756	0.0146730448674892	1.8334797544638815	2	1.07053726007717	0.0983350096356903	0.705027443528068	0.15179397756061147	0	old
Nup160	1.32108693983082	0.401725412485981	0.0198912429669203	1.7013380777700668	2	1.30949757389852	0.389013386815044	0.404288868581782	0.3933082160743386	0	old
Cacna2d1	1.12594707849144	0.171139019787406	0.0466057756963856	1.3315602593263705	2	-1.01155651741658	-0.0165769280215193	0.97417686867089	0.011362186741108745	0	old
Fzd3	1.1124129672833	0.153692467242654	0.0435514741589526	1.3609971401221466	2	-1.01622718696623	-0.023222965958257	0.964036857570913	0.015906361601665992	0	old
Efhd2	-1.16477490923449	-0.220051183457595	2.14706725136034e-4	3.668154352192873	3	-1.04113347036384	-0.0581550299138518	0.48983473234968	0.30995042392135064	0	old
Ftl1	-1.11658259904535	-0.159089978276718	0.0449271672418895	1.3474909637795582	2	1.02621966767198	0.0373395803992608	0.936385196312446	0.02854546085605918	0	old
